date,quarter,gdp_nsa,gdp_sa
2004-04-01,2004Q2,18650362.7,19498484.2
2004-07-01,2004Q3,18850258.9,19959283.1
2004-10-01,2004Q4,21145497.6,20383584.4
2005-01-01,2005Q1,21973763.5,20778531.0
2005-04-01,2005Q2,20370646.8,21379248.5
2005-07-01,2005Q3,20441921.1,21698875.0
2005-10-01,2005Q4,23042974.4,22240696.1
2006-01-01,2006Q1,24249816.4,22786539.1
2006-04-01,2006Q2,21879320.0,23105685.9
2006-07-01,2006Q3,22534949.7,23822215.8
2006-10-01,2006Q4,25226863.2,24397888.4
2007-01-01,2007Q1,26626257.5,24941600.3
2007-04-01,2007Q2,24244392.2,25472608.5
2007-07-01,2007Q3,24594738.9,25880909.8
2007-10-01,2007Q4,27887618.8,27170496.7
2008-01-01,2008Q1,28976145.0,27178879.8
2008-04-01,2008Q2,26204314.2,27347455.4
2008-07-01,2008Q3,26251284.5,27497382.8
2008-10-01,2008Q4,28315604.9,27734681.3
2009-01-01,2009Q1,29044540.3,27236224.3
2009-04-01,2009Q2,27512912.4,28720821.9
2009-07-01,2009Q3,28078026.8,29444603.1
2009-10-01,2009Q4,30640610.6,30093487.5
2010-01-01,2010Q1,32896403.1,30869040.4
2010-04-01,2010Q2,30344950.3,31654011.5
2010-07-01,2010Q3,30795809.8,32404719.7
2010-10-01,2010Q4,33916232.4,33274392.9
2011-01-01,2011Q1,36293323.9,34017192.3
2011-04-01,2011Q2,33424678.9,34615253.2
2011-07-01,2011Q3,32471105.0,34091262.5
2011-10-01,2011Q4,35368180.0,34768879.1
2012-01-01,2012Q1,37598642.7,35387211.8
2012-04-01,2012Q2,35051685.2,35906084.3
2012-07-01,2012Q3,34904219.7,36338082.7
2012-10-01,2012Q4,37269711.9,36807101.4
2013-01-01,2013Q1,39213884.3,37388232.8
2013-04-01,2013Q2,37311501.9,37942750.7
2013-07-01,2013Q3,37465403.7,38575966.9
2013-10-01,2013Q4,39705281.0,39390925.3
2014-01-01,2014Q1,41309074.4,39881618.1
2014-04-01,2014Q2,40305363.0,40776949.2
2014-07-01,2014Q3,40726433.3,41531821.4
2014-10-01,2014Q4,42056920.1,42143114.3
2015-01-01,2015Q1,44247008.8,42883840.3
2015-04-01,2015Q2,43365565.7,43786928.8
2015-07-01,2015Q3,43998315.9,44608755.4
2015-10-01,2015Q4,45083938.5,45516788.2
2016-01-01,2016Q1,48268479.0,46803826.7
2016-04-01,2016Q2,47129611.2,47671732.8
2016-07-01,2016Q3,48252868.9,48742184.3
2016-10-01,2016Q4,48950108.8,49397782.6
2017-01-01,2017Q1,51304241.8,49825131.0
2017-04-01,2017Q2,50010528.1,50810679.0
2017-07-01,2017Q3,50818927.3,51668415.4
2017-10-01,2017Q4,52214433.8,52665107.5
2018-01-01,2018Q1,55887203.2,53786890.6
2018-04-01,2018Q2,53761148.0,54503076.9
2018-07-01,2018Q3,54100397.5,55244318.9
2018-10-01,2018Q4,55469209.1,56036954.1
2019-01-01,2019Q1,59084478.1,56630882.7
2019-04-01,2019Q2,56500476.5,57248220.1
2019-07-01,2019Q3,56425833.4,57753359.5
2019-10-01,2019Q4,57275088.5,57922405.8
2020-01-01,2020Q1,60824464.6,58101877.6
2020-04-01,2020Q2,43429583.4,44142611.2
2020-07-01,2020Q3,53131006.2,54896215.4
2020-10-01,2020Q4,58291768.5,58920865.9
2021-01-01,2021Q1,62825463.5,59718129.1
2021-04-01,2021Q2,53259336.6,54278560.4
2021-07-01,2021Q3,58372835.7,60891680.0
2021-10-01,2021Q4,61514764.0,61442879.7
2022-01-01,2022Q1,65622984.3,62156800.7
2022-04-01,2022Q2,61597204.3,63220619.4
2022-07-01,2022Q3,60613569.9,64036103.1
2022-10-01,2022Q4,68195971.1,67079723.0
2023-01-01,2023Q1,70769526.3,66839826.1
2023-04-01,2023Q2,65650788.7,67893366.1
2023-07-01,2023Q3,65241947.4,69403907.9
2023-10-01,2023Q4,73030453.7,70857120.9
2024-01-01,2024Q1,76084479.5,71853274.4
2024-04-01,2024Q2,70545787.9,73172944.8
2024-07-01,2024Q3,69538699.8,74115520.5
2024-10-01,2024Q4,78405732.5,75629285.3
2025-01-01,2025Q1,81395975.0,76968444.5
2025-04-01,2025Q2,75355723.5,78372204.8
2025-07-01,2025Q3,75344227.1,80095365.2
2025-10-01,2025Q4,84649351.7,81553807.7
2026-01-01,2026Q1,87771040.1,83098964.7
